DATE        UBIT      DURATION    ACTIVITY & TOOL DESCRIPTION
2023/02/14  muntaqam  020 minutes met with teamates and made a plan on how to excectute PRE1
2023/02/14  muntaqam  020 minutes created github repo, added teamates, pushed sample csv file
2023/02/16  muntaqam  240 minutes created the main and implemented command line options
2023/02/16  muntaqam  090 minutes implemented -max and -min
2023/02/17  muntaqam  090 minutes review, added changes to the options, submit work
