2023/02/13,devincle,60 minutes, started playing around with the functions testing print statements etc using emacs
2023/02/15,devincle,90 minutes, created -f -h and -r functions (not complete yet)
2023/02/16,devincle,120 minutes, implemented above functions into main program. tested functionality 
